Time;RPM;MAP;TP;lambda;MAT;CLT;Gego;Gwarm;Gbaro;Gammae;TPSacc;Gve;PW;PW_raw;IacDC;IacSteps;DutyCycle1;lambdaTarget;Spark;Dwell;EGT #1;Vbatt;IacInt;speed_rpm_ratio;altitude;speed;course;distance;distance_sum;inst_Vems;torque;torque_nominal;L100km;lambda_corr_ego;lambda_corr_ego;afr_diff;corrected_ve
0;1996;40;8.2;0.955;32;83;91;100;100;96;0;117;3.653;2.904;18;48;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.261;26.408;24.693;255;0.869;0.869;0.996;106.878
0.046;1996;40.3;8.2;0.955;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.261;24.135;22.412;255;0.869;0.869;0.996;106.878
0.093;1994;40;8.2;0.953;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.258;26.309;24.594;255;0.867;0.867;0.998;106.64
0.14;1994;40.3;8.2;0.951;32;83;91;100;100;96;0;117;3.653;2.904;18;47;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.258;24.432;22.709;255;0.865;0.865;1.001;106.402
0.187;1997;40.3;8.2;0.949;32;83;91;100;100;96;0;117;3.645;2.904;18;47;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.262;27.89;26.18;255;0.864;0.864;1.003;106.164
0.234;1996;40;8.2;0.947;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.261;25.618;23.899;255;0.862;0.862;1.005;105.926
0.281;1998;40.3;8.2;0.951;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.263;27.199;25.486;255;0.865;0.865;1.001;106.402
0.328;1996;40.3;8.2;0.953;32;83;91;100;100;96;0;117;3.653;2.904;18;47;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.261;25.025;23.304;255;0.867;0.867;0.998;106.64
0.375;1997;40;8.2;0.953;32;83;91;100;100;96;0;117;3.645;2.904;18;47;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.262;25.519;23.8;255;0.867;0.867;0.998;106.64
0.421;1996;40;8.2;0.96;32;83;91;100;100;96;0;117;3.653;2.904;18;47;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.261;25.321;23.602;255;0.873;0.873;0.992;107.354
0.468;1997;40;8.2;0.96;32;83;91;100;100;96;0;117;3.645;2.904;18;47;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.262;25.321;23.602;255;0.873;0.873;0.992;107.354
0.515;1995;40.3;8.2;0.953;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.259;27.396;25.684;255;0.867;0.867;0.998;106.64
0.578;1994;40;8.2;0.951;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.258;24.432;22.709;255;0.865;0.865;1.001;106.402
0.625;1994;40.3;8.2;0.943;32;83;91;100;100;96;0;117;3.653;2.904;18;47;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.258;23.345;21.619;255;0.858;0.858;1.01;105.45
0.671;1995;40.3;8.2;0.943;32;83;91;100;100;96;0;117;3.645;2.904;18;47;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.259;27.199;25.486;255;0.858;0.858;1.01;105.45
0.718;1995;40;8.2;0.947;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.259;25.815;24.098;255;0.862;0.862;1.005;105.926
0.765;1998;40.3;8.2;0.943;32;83;91;100;100;96;0;117;3.645;2.904;18;48;6.1;0.952;34;4.03;602;12.47;123;0;0;0;0;0;0;2.263;26.803;25.089;255;0.858;0.858;1.01;105.45
0.812;1996;40.3;8.2;0.945;32;83;91;100;100;96;0;117;3.653;2.904;18;47;6.1;0.952;34;4.03;602;12.35;123;0;0;0;0;0;0;2.261;25.815;24.098;255;0.86;0.86;1.007;105.688
